sample_id	key	value
SRR2164140	Uniquely mapped reads number	8301402
SRR2164141	Uniquely mapped reads number	8056573
SRR2164142	Uniquely mapped reads number	7982122
SRR2164143	Uniquely mapped reads number	11016229
SRR2164144	Uniquely mapped reads number	10773439
SRR2164145	Uniquely mapped reads number	10677477
SRR2164146	Uniquely mapped reads number	12320086
SRR2164147	Uniquely mapped reads number	11992162
SRR2164148	Uniquely mapped reads number	11872305
SRR2164149	Uniquely mapped reads number	12023757
SRR2164150	Uniquely mapped reads number	11346213
SRR2164151	Uniquely mapped reads number	11437354
SRR2164152	Uniquely mapped reads number	11106058
SRR2164153	Uniquely mapped reads number	10426258
SRR2164154	Uniquely mapped reads number	10474648
SRR2164155	Uniquely mapped reads number	10090106
SRR2164156	Uniquely mapped reads number	9460142
SRR2164157	Uniquely mapped reads number	9485033
SRR2164158	Uniquely mapped reads number	10460537
SRR2164159	Uniquely mapped reads number	9844850
SRR2164160	Uniquely mapped reads number	9906244
SRR2164161	Uniquely mapped reads number	11613459
SRR2164162	Uniquely mapped reads number	10948953
SRR2164163	Uniquely mapped reads number	11035290
SRR2164164	Uniquely mapped reads number	10434585
SRR2164165	Uniquely mapped reads number	9796390
SRR2164166	Uniquely mapped reads number	9836164
SRR2164167	Uniquely mapped reads number	14243065
SRR2164168	Uniquely mapped reads number	15377964
SRR2164169	Uniquely mapped reads number	15598123
SRR2164170	Uniquely mapped reads number	13475921
SRR2164171	Uniquely mapped reads number	14461880
SRR2164172	Uniquely mapped reads number	14690147
SRR2164173	Uniquely mapped reads number	14367835
SRR2164174	Uniquely mapped reads number	15771627
SRR2164175	Uniquely mapped reads number	15994032
SRR2164176	Uniquely mapped reads number	13656669
SRR2164177	Uniquely mapped reads number	14343846
SRR2164178	Uniquely mapped reads number	14575666
SRR2164179	Uniquely mapped reads number	13733189
SRR2164180	Uniquely mapped reads number	14436497
SRR2164181	Uniquely mapped reads number	14655654
SRR2164182	Uniquely mapped reads number	6993966
SRR2164183	Uniquely mapped reads number	7707156
SRR2164184	Uniquely mapped reads number	7841772
SRR2164185	Uniquely mapped reads number	13560448
SRR2164186	Uniquely mapped reads number	13115248
SRR2164187	Uniquely mapped reads number	13006375
SRR2164188	Uniquely mapped reads number	13181486
SRR2164189	Uniquely mapped reads number	12846518
SRR2164190	Uniquely mapped reads number	12730123
SRR2164191	Uniquely mapped reads number	13481864
SRR2164192	Uniquely mapped reads number	13104308
SRR2164193	Uniquely mapped reads number	12991715
SRR2164140	Number of input reads	10769010
SRR2164141	Number of input reads	10479313
SRR2164142	Number of input reads	10384450
SRR2164143	Number of input reads	13903999
SRR2164144	Number of input reads	13626744
SRR2164145	Number of input reads	13504016
SRR2164146	Number of input reads	15368234
SRR2164147	Number of input reads	14993522
SRR2164148	Number of input reads	14844298
SRR2164149	Number of input reads	17939824
SRR2164150	Number of input reads	16965087
SRR2164151	Number of input reads	17134080
SRR2164152	Number of input reads	17604026
SRR2164153	Number of input reads	16604549
SRR2164154	Number of input reads	16722821
SRR2164155	Number of input reads	17348158
SRR2164156	Number of input reads	16408361
SRR2164157	Number of input reads	16493244
SRR2164158	Number of input reads	16406304
SRR2164159	Number of input reads	15522855
SRR2164160	Number of input reads	15642663
SRR2164161	Number of input reads	17538456
SRR2164162	Number of input reads	16594092
SRR2164163	Number of input reads	16754078
SRR2164164	Number of input reads	15919551
SRR2164165	Number of input reads	15012361
SRR2164166	Number of input reads	15088674
SRR2164167	Number of input reads	17718454
SRR2164168	Number of input reads	19637079
SRR2164169	Number of input reads	19889252
SRR2164170	Number of input reads	17534363
SRR2164171	Number of input reads	19367372
SRR2164172	Number of input reads	19640646
SRR2164173	Number of input reads	18243273
SRR2164174	Number of input reads	20614011
SRR2164175	Number of input reads	20875346
SRR2164176	Number of input reads	17218962
SRR2164177	Number of input reads	18445999
SRR2164178	Number of input reads	18714232
SRR2164179	Number of input reads	17564621
SRR2164180	Number of input reads	18868212
SRR2164181	Number of input reads	19118176
SRR2164182	Number of input reads	10572670
SRR2164183	Number of input reads	12228940
SRR2164184	Number of input reads	12388652
SRR2164185	Number of input reads	17430247
SRR2164186	Number of input reads	16910377
SRR2164187	Number of input reads	16766580
SRR2164188	Number of input reads	17259901
SRR2164189	Number of input reads	16864700
SRR2164190	Number of input reads	16708490
SRR2164191	Number of input reads	16995735
SRR2164192	Number of input reads	16566627
SRR2164193	Number of input reads	16425579
