sample_id,key,value
CT0_3xSCN_K1,Uniquely mapped reads number,25692963
CT0_3xSCN_K2,Uniquely mapped reads number,44072412
CT0_3xSCN_K3,Uniquely mapped reads number,34521869
CT0_3xSCN_K4,Uniquely mapped reads number,43545013
CT0_3xSCN_K5,Uniquely mapped reads number,38429801
CT0_3xSCN_WT1,Uniquely mapped reads number,21735550
CT0_3xSCN_WT2,Uniquely mapped reads number,46027977
CT0_3xSCN_WT3,Uniquely mapped reads number,51604739
CT0_3xSCN_WT4,Uniquely mapped reads number,44058593
CT0_3xSCN_WT5,Uniquely mapped reads number,44105467
CT12_3xSCN_K1,Uniquely mapped reads number,98641233
CT12_3xSCN_K2,Uniquely mapped reads number,24603049
CT12_3xSCN_K3,Uniquely mapped reads number,35321824
CT12_3xSCN_K4,Uniquely mapped reads number,42035124
CT12_3xSCN_K5,Uniquely mapped reads number,39881081
CT12_3xSCN_WT1,Uniquely mapped reads number,56197203
CT12_3xSCN_WT2,Uniquely mapped reads number,19922121
CT12_3xSCN_WT3,Uniquely mapped reads number,54439305
CT12_3xSCN_WT4,Uniquely mapped reads number,37918680
CT12_3xSCN_WT5,Uniquely mapped reads number,40141798
CT18_3xSCN_K1,Uniquely mapped reads number,24355101
CT18_3xSCN_K2,Uniquely mapped reads number,21358976
CT18_3xSCN_K3,Uniquely mapped reads number,38658235
CT18_3xSCN_K4,Uniquely mapped reads number,38945419
CT18_3xSCN_K5,Uniquely mapped reads number,50111342
CT18_3xSCN_WT1,Uniquely mapped reads number,20281035
CT18_3xSCN_WT2,Uniquely mapped reads number,18888000
CT18_3xSCN_WT3,Uniquely mapped reads number,43900205
CT18_3xSCN_WT4,Uniquely mapped reads number,43932719
CT18_3xSCN_WT5,Uniquely mapped reads number,41488954
CT6_3xSCN_K1,Uniquely mapped reads number,22115438
CT6_3xSCN_K2,Uniquely mapped reads number,22452488
CT6_3xSCN_K3,Uniquely mapped reads number,29984749
CT6_3xSCN_K4,Uniquely mapped reads number,41418114
CT6_3xSCN_K5,Uniquely mapped reads number,36678555
CT6_3xSCN_WT1,Uniquely mapped reads number,31166397
CT6_3xSCN_WT2,Uniquely mapped reads number,103590520
CT6_3xSCN_WT3,Uniquely mapped reads number,36840525
CT6_3xSCN_WT4,Uniquely mapped reads number,48179396
CT6_3xSCN_WT5,Uniquely mapped reads number,45776274
CT0_3xSCN_K1,Number of input reads,27742994
CT0_3xSCN_K2,Number of input reads,47821080
CT0_3xSCN_K3,Number of input reads,37528793
CT0_3xSCN_K4,Number of input reads,46898968
CT0_3xSCN_K5,Number of input reads,41508377
CT0_3xSCN_WT1,Number of input reads,23527129
CT0_3xSCN_WT2,Number of input reads,49825425
CT0_3xSCN_WT3,Number of input reads,55675454
CT0_3xSCN_WT4,Number of input reads,47507461
CT0_3xSCN_WT5,Number of input reads,47279903
CT12_3xSCN_K1,Number of input reads,106706569
CT12_3xSCN_K2,Number of input reads,26718218
CT12_3xSCN_K3,Number of input reads,38218414
CT12_3xSCN_K4,Number of input reads,44986778
CT12_3xSCN_K5,Number of input reads,42845163
CT12_3xSCN_WT1,Number of input reads,61687801
CT12_3xSCN_WT2,Number of input reads,21574327
CT12_3xSCN_WT3,Number of input reads,59067351
CT12_3xSCN_WT4,Number of input reads,40761836
CT12_3xSCN_WT5,Number of input reads,43421440
CT18_3xSCN_K1,Number of input reads,26313013
CT18_3xSCN_K2,Number of input reads,23342508
CT18_3xSCN_K3,Number of input reads,41958421
CT18_3xSCN_K4,Number of input reads,41738700
CT18_3xSCN_K5,Number of input reads,53802922
CT18_3xSCN_WT1,Number of input reads,22005019
CT18_3xSCN_WT2,Number of input reads,20465848
CT18_3xSCN_WT3,Number of input reads,47801745
CT18_3xSCN_WT4,Number of input reads,47203670
CT18_3xSCN_WT5,Number of input reads,44660269
CT6_3xSCN_K1,Number of input reads,23952107
CT6_3xSCN_K2,Number of input reads,24317902
CT6_3xSCN_K3,Number of input reads,32396952
CT6_3xSCN_K4,Number of input reads,44488899
CT6_3xSCN_K5,Number of input reads,39500086
CT6_3xSCN_WT1,Number of input reads,33755990
CT6_3xSCN_WT2,Number of input reads,112013686
CT6_3xSCN_WT3,Number of input reads,39675542
CT6_3xSCN_WT4,Number of input reads,51783511
CT6_3xSCN_WT5,Number of input reads,48951740
