filename	md5	group	replicate	label
mapping/feature_counts/SRR2164140.all_mates/out/feature_counts.SRR2164140.all_mates.feature_counts	.	ZT2	1	ZT2_1
mapping/feature_counts/SRR2164141.all_mates/out/feature_counts.SRR2164141.all_mates.feature_counts	.	ZT2	2	ZT2_2
mapping/feature_counts/SRR2164142.all_mates/out/feature_counts.SRR2164142.all_mates.feature_counts	.	ZT2	3	ZT2_3
mapping/feature_counts/SRR2164143.all_mates/out/feature_counts.SRR2164143.all_mates.feature_counts	.	ZT2	4	ZT2_4
mapping/feature_counts/SRR2164144.all_mates/out/feature_counts.SRR2164144.all_mates.feature_counts	.	ZT2	5	ZT2_5
mapping/feature_counts/SRR2164145.all_mates/out/feature_counts.SRR2164145.all_mates.feature_counts	.	ZT2	6	ZT2_6
mapping/feature_counts/SRR2164146.all_mates/out/feature_counts.SRR2164146.all_mates.feature_counts	.	ZT2	7	ZT2_7
mapping/feature_counts/SRR2164147.all_mates/out/feature_counts.SRR2164147.all_mates.feature_counts	.	ZT2	8	ZT2_8
mapping/feature_counts/SRR2164148.all_mates/out/feature_counts.SRR2164148.all_mates.feature_counts	.	ZT2	9	ZT2_9
mapping/feature_counts/SRR2164149.all_mates/out/feature_counts.SRR2164149.all_mates.feature_counts	.	ZT6	1	ZT6_1
mapping/feature_counts/SRR2164150.all_mates/out/feature_counts.SRR2164150.all_mates.feature_counts	.	ZT6	2	ZT6_2
mapping/feature_counts/SRR2164151.all_mates/out/feature_counts.SRR2164151.all_mates.feature_counts	.	ZT6	3	ZT6_3
mapping/feature_counts/SRR2164152.all_mates/out/feature_counts.SRR2164152.all_mates.feature_counts	.	ZT6	4	ZT6_4
mapping/feature_counts/SRR2164153.all_mates/out/feature_counts.SRR2164153.all_mates.feature_counts	.	ZT6	5	ZT6_5
mapping/feature_counts/SRR2164154.all_mates/out/feature_counts.SRR2164154.all_mates.feature_counts	.	ZT6	6	ZT6_6
mapping/feature_counts/SRR2164155.all_mates/out/feature_counts.SRR2164155.all_mates.feature_counts	.	ZT6	7	ZT6_7
mapping/feature_counts/SRR2164156.all_mates/out/feature_counts.SRR2164156.all_mates.feature_counts	.	ZT6	8	ZT6_8
mapping/feature_counts/SRR2164157.all_mates/out/feature_counts.SRR2164157.all_mates.feature_counts	.	ZT6	9	ZT6_9
mapping/feature_counts/SRR2164158.all_mates/out/feature_counts.SRR2164158.all_mates.feature_counts	.	ZT10	1	ZT10_1
mapping/feature_counts/SRR2164159.all_mates/out/feature_counts.SRR2164159.all_mates.feature_counts	.	ZT10	2	ZT10_2
mapping/feature_counts/SRR2164160.all_mates/out/feature_counts.SRR2164160.all_mates.feature_counts	.	ZT10	3	ZT10_3
mapping/feature_counts/SRR2164161.all_mates/out/feature_counts.SRR2164161.all_mates.feature_counts	.	ZT10	4	ZT10_4
mapping/feature_counts/SRR2164162.all_mates/out/feature_counts.SRR2164162.all_mates.feature_counts	.	ZT10	5	ZT10_5
mapping/feature_counts/SRR2164163.all_mates/out/feature_counts.SRR2164163.all_mates.feature_counts	.	ZT10	6	ZT10_6
mapping/feature_counts/SRR2164164.all_mates/out/feature_counts.SRR2164164.all_mates.feature_counts	.	ZT10	7	ZT10_7
mapping/feature_counts/SRR2164165.all_mates/out/feature_counts.SRR2164165.all_mates.feature_counts	.	ZT10	8	ZT10_8
mapping/feature_counts/SRR2164166.all_mates/out/feature_counts.SRR2164166.all_mates.feature_counts	.	ZT10	9	ZT10_9
mapping/feature_counts/SRR2164167.all_mates/out/feature_counts.SRR2164167.all_mates.feature_counts	.	ZT14	1	ZT14_1
mapping/feature_counts/SRR2164168.all_mates/out/feature_counts.SRR2164168.all_mates.feature_counts	.	ZT14	2	ZT14_2
