filename	md5	time	brain_region	test	group	replicate	label
mapping/feature_counts/CH_DB_AI_001.all_mates/out/feature_counts.CH_DB_AI_001.all_mates.feature_counts	.	Night	Hippocampus	Soci	Night_Hippocampus	16	Night_Hippocampus_16
mapping/feature_counts/CH_DB_AI_002.all_mates/out/feature_counts.CH_DB_AI_002.all_mates.feature_counts	.	Night	Hippocampus	Cogn	Night_Hippocampus	1	Night_Hippocampus_1
mapping/feature_counts/CH_DB_AI_003.all_mates/out/feature_counts.CH_DB_AI_003.all_mates.feature_counts	.	Night	Hippocampus	Ctr0	Night_Hippocampus	2	Night_Hippocampus_2
mapping/feature_counts/CH_DB_AI_004.all_mates/out/feature_counts.CH_DB_AI_004.all_mates.feature_counts	.	Night	Hippocampus	Ctr1	Night_Hippocampus	3	Night_Hippocampus_3
mapping/feature_counts/CH_DB_AI_005.all_mates/out/feature_counts.CH_DB_AI_005.all_mates.feature_counts	.	Day	Hippocampus	Soci	Day_Hippocampus	16	Day_Hippocampus_16
mapping/feature_counts/CH_DB_AI_006.all_mates/out/feature_counts.CH_DB_AI_006.all_mates.feature_counts	.	Day	Hippocampus	Cogn	Day_Hippocampus	1	Day_Hippocampus_1
mapping/feature_counts/CH_DB_AI_007.all_mates/out/feature_counts.CH_DB_AI_007.all_mates.feature_counts	.	Day	Hippocampus	Ctr0	Day_Hippocampus	2	Day_Hippocampus_2
mapping/feature_counts/CH_DB_AI_008.all_mates/out/feature_counts.CH_DB_AI_008.all_mates.feature_counts	.	Day	Hippocampus	Ctr1	Day_Hippocampus	3	Day_Hippocampus_3
mapping/feature_counts/CH_DB_AI_009.all_mates/out/feature_counts.CH_DB_AI_009.all_mates.feature_counts	.	Night	Hippocampus	Soci	Night_Hippocampus	4	Night_Hippocampus_4
mapping/feature_counts/CH_DB_AI_010.all_mates/out/feature_counts.CH_DB_AI_010.all_mates.feature_counts	.	Night	Hippocampus	Cogn	Night_Hippocampus	5	Night_Hippocampus_5
