sample_id	key	value
CH_DB_AI_001	Number of input reads	40382897
CH_DB_AI_002	Number of input reads	33730030
CH_DB_AI_003	Number of input reads	39835707
CH_DB_AI_004	Number of input reads	40641701
CH_DB_AI_005	Number of input reads	40539511
CH_DB_AI_006	Number of input reads	38669249
CH_DB_AI_007	Number of input reads	29763327
CH_DB_AI_008	Number of input reads	32262785
CH_DB_AI_009	Number of input reads	38571001
CH_DB_AI_010	Number of input reads	33700820
CH_DB_AI_011	Number of input reads	38584738
CH_DB_AI_012	Number of input reads	41782349
CH_DB_AI_013	Number of input reads	37085081
CH_DB_AI_014	Number of input reads	32473149
CH_DB_AI_015	Number of input reads	32184136
CH_DB_AI_016	Number of input reads	42938493
CH_DB_AI_017	Number of input reads	34700192
CH_DB_AI_018	Number of input reads	37956291
CH_DB_AI_019	Number of input reads	36963814
CH_DB_AI_020	Number of input reads	40341223
CH_DB_AI_021	Number of input reads	32370414
CH_DB_AI_022	Number of input reads	40885287
CH_DB_AI_023	Number of input reads	32740437
CH_DB_AI_024	Number of input reads	29760985
CH_DB_AI_025	Number of input reads	219064343
CH_DB_AI_026	Number of input reads	159665862
CH_DB_AI_027	Number of input reads	66974470
CH_DB_AI_028	Number of input reads	30285067
CH_DB_AI_029	Number of input reads	30606270
CH_DB_AI_030	Number of input reads	152258921
CH_DB_AI_031	Number of input reads	36446181
CH_DB_AI_032	Number of input reads	34316056
CH_DB_AI_033	Number of input reads	40979728
CH_DB_AI_034	Number of input reads	30951466
CH_DB_AI_035	Number of input reads	34443269
CH_DB_AI_036	Number of input reads	33874445
CH_DB_AI_037	Number of input reads	28438276
CH_DB_AI_038	Number of input reads	27574844
CH_DB_AI_039	Number of input reads	48483226
CH_DB_AI_040	Number of input reads	34445717
CH_DB_AI_041	Number of input reads	45872089
CH_DB_AI_042	Number of input reads	55983285
CH_DB_AI_043	Number of input reads	70246174
CH_DB_AI_044	Number of input reads	49000202
CH_DB_AI_045	Number of input reads	27823538
CH_DB_AI_046	Number of input reads	33112482
CH_DB_AI_047	Number of input reads	30463063
CH_DB_AI_048	Number of input reads	30004176
CH_DB_AI_049	Number of input reads	27039340
CH_DB_AI_050	Number of input reads	29105111
CH_DB_AI_051	Number of input reads	40335539
CH_DB_AI_052	Number of input reads	32179383
CH_DB_AI_053	Number of input reads	30680338
CH_DB_AI_054	Number of input reads	39275891
CH_DB_AI_055	Number of input reads	28475449
CH_DB_AI_056	Number of input reads	30931831
CH_DB_AI_057	Number of input reads	37061302
CH_DB_AI_058	Number of input reads	32219068
CH_DB_AI_059	Number of input reads	32524835
CH_DB_AI_060	Number of input reads	38755402
CH_DB_AI_061	Number of input reads	33443251
CH_DB_AI_062	Number of input reads	35639510
CH_DB_AI_063	Number of input reads	34933634
CH_DB_AI_064	Number of input reads	30158876
CH_DB_AI_001	Uniquely mapped reads number	32715615
CH_DB_AI_002	Uniquely mapped reads number	25579402
CH_DB_AI_003	Uniquely mapped reads number	31088557
CH_DB_AI_004	Uniquely mapped reads number	30699010
CH_DB_AI_005	Uniquely mapped reads number	32014976
CH_DB_AI_006	Uniquely mapped reads number	30258818
CH_DB_AI_007	Uniquely mapped reads number	25295382
CH_DB_AI_008	Uniquely mapped reads number	24460257
CH_DB_AI_009	Uniquely mapped reads number	32028693
CH_DB_AI_010	Uniquely mapped reads number	25573469
CH_DB_AI_011	Uniquely mapped reads number	27061228
CH_DB_AI_012	Uniquely mapped reads number	30239549
CH_DB_AI_013	Uniquely mapped reads number	27265679
CH_DB_AI_014	Uniquely mapped reads number	23221118
CH_DB_AI_015	Uniquely mapped reads number	24323289
CH_DB_AI_016	Uniquely mapped reads number	32678080
CH_DB_AI_017	Uniquely mapped reads number	29719598
CH_DB_AI_018	Uniquely mapped reads number	31086778
CH_DB_AI_019	Uniquely mapped reads number	30255571
CH_DB_AI_020	Uniquely mapped reads number	30231254
CH_DB_AI_021	Uniquely mapped reads number	26912035
CH_DB_AI_022	Uniquely mapped reads number	30369107
CH_DB_AI_023	Uniquely mapped reads number	26034170
CH_DB_AI_024	Uniquely mapped reads number	21954141
CH_DB_AI_025	Uniquely mapped reads number	150751209
CH_DB_AI_026	Uniquely mapped reads number	100423879
CH_DB_AI_027	Uniquely mapped reads number	45103487
CH_DB_AI_028	Uniquely mapped reads number	19262763
CH_DB_AI_029	Uniquely mapped reads number	22891918
CH_DB_AI_030	Uniquely mapped reads number	102693299
CH_DB_AI_031	Uniquely mapped reads number	22549503
CH_DB_AI_032	Uniquely mapped reads number	26048192
CH_DB_AI_033	Uniquely mapped reads number	29537490
CH_DB_AI_034	Uniquely mapped reads number	20317837
CH_DB_AI_035	Uniquely mapped reads number	22892906
CH_DB_AI_036	Uniquely mapped reads number	23869341
CH_DB_AI_037	Uniquely mapped reads number	19262045
CH_DB_AI_038	Uniquely mapped reads number	16672448
CH_DB_AI_039	Uniquely mapped reads number	36401638
CH_DB_AI_040	Uniquely mapped reads number	25065030
CH_DB_AI_041	Uniquely mapped reads number	36910474
CH_DB_AI_042	Uniquely mapped reads number	38682850
CH_DB_AI_043	Uniquely mapped reads number	50252331
CH_DB_AI_044	Uniquely mapped reads number	31155503
CH_DB_AI_045	Uniquely mapped reads number	16055722
CH_DB_AI_046	Uniquely mapped reads number	21874677
CH_DB_AI_047	Uniquely mapped reads number	20415166
CH_DB_AI_048	Uniquely mapped reads number	21075300
CH_DB_AI_049	Uniquely mapped reads number	18338346
CH_DB_AI_050	Uniquely mapped reads number	21711738
CH_DB_AI_051	Uniquely mapped reads number	29115345
CH_DB_AI_052	Uniquely mapped reads number	23205895
CH_DB_AI_053	Uniquely mapped reads number	21291328
CH_DB_AI_054	Uniquely mapped reads number	28655075
CH_DB_AI_055	Uniquely mapped reads number	22273364
CH_DB_AI_056	Uniquely mapped reads number	20706078
CH_DB_AI_057	Uniquely mapped reads number	30127820
CH_DB_AI_058	Uniquely mapped reads number	20385299
CH_DB_AI_059	Uniquely mapped reads number	23117825
CH_DB_AI_060	Uniquely mapped reads number	26689874
CH_DB_AI_061	Uniquely mapped reads number	25006390
CH_DB_AI_062	Uniquely mapped reads number	23014694
CH_DB_AI_063	Uniquely mapped reads number	27283683
CH_DB_AI_064	Uniquely mapped reads number	21105170
